 PARM = MNET;SLAT;SLON;SELV;TMPF;SKNT;DRCT;GUST;PMSL;ALTI;DWPF;RELH;WTHR;P24I


    STN  YYMMDD/HHMM      MNET     SLAT     SLON     SELV     TMPF     SKNT     DRCT     GUST     PMSL     ALTI     DWPF     RELH     WTHR     P24I     
    SVB  20120201/1815      8.00    43.66  -114.40  2746.00    23.45    12.16   195.30    15.06 -9999.00    29.87    21.65    92.70 -9999.00 -9999.00
    SVB  20120201/1830      8.00    43.66  -114.40  2746.00    23.93    13.26   184.30    16.51 -9999.00    29.87    21.98    92.10 -9999.00 -9999.00
    SVB  20120201/1845      8.00    43.66  -114.40  2746.00    22.62    12.40   164.00    15.35 -9999.00    29.87    20.91    93.00 -9999.00 -9999.00
    SVB  20120201/1900      8.00    43.66  -114.40  2746.00    22.38    10.63   156.80    15.06 -9999.00    29.87    20.97    94.20 -9999.00 -9999.00
   TRJO  20120201/1845      8.00    40.56  -112.06  1585.00    41.85     9.68   167.30    16.87 -9999.00 -9999.00    18.75    39.05 -9999.00 -9999.00
    ZNP  20120201/1815      8.00    37.23  -112.87  1750.00    44.17     3.08    80.50     6.44 -9999.00 -9999.00    18.51    35.35 -9999.00 -9999.00
    ZNP  20120201/1830      8.00    37.23  -112.87  1750.00    43.85     3.73    77.70     6.78 -9999.00 -9999.00    18.73    36.13 -9999.00 -9999.00
    ZNP  20120201/1845      8.00    37.23  -112.87  1750.00    44.70     3.42    81.10     6.63 -9999.00 -9999.00    19.14    35.59 -9999.00 -9999.00
    ZNP  20120201/1900      8.00    37.23  -112.87  1750.00    45.66     2.54    89.20     5.52 -9999.00 -9999.00    19.63    35.05 -9999.00 -9999.00
   BGBW  20120201/1850      1.00    61.16   -45.43    34.00    24.80     6.00    50.00 -9999.00 -9999.00    29.56     8.60    49.48 -9999.00 -9999.00
   BGGH  20120201/1850      1.00    64.19   -51.68    86.00    28.40    11.00    70.00 -9999.00 -9999.00    29.59    19.40    68.56 -9999.00 -9999.00
   BGJN  20120201/1850      1.00    69.24   -51.06    25.00    21.20     8.00   100.00 -9999.00 -9999.00    29.65     5.00    48.87 -9999.00 -9999.00
   BGSF  20120201/1850      1.00    67.02   -50.69    53.00     6.80     5.00    70.00 -9999.00 -9999.00    29.68     1.40    77.92 -9999.00 -9999.00
   BGTL  20120201/1855      1.00    76.53   -68.75    77.00   -18.04    10.00    90.00 -9999.00  1010.40    29.79   -25.06    69.06 -9999.00 -9999.00
   K04V  20120201/1852      1.00    38.10  -106.17  2385.00    37.40     7.00   160.00 -9999.00 -9999.00    30.27    12.20    34.88 -9999.00 -9999.00
   K06D  20120201/1855      1.00    48.88   -99.62   556.00    39.20     5.00   190.00 -9999.00 -9999.00    29.88    28.40    64.90 -9999.00 -9999.00
   K0A9  20120201/1855      1.00    36.37   -82.17   486.00    48.20     4.00   230.00 -9999.00 -9999.00    30.13    46.40    93.45    17.00 -9999.00
   K0F2  20120201/1855      1.00    33.60   -97.78   336.00    66.20     5.00   310.00 -9999.00 -9999.00    30.08    44.60    45.65 -9999.00 -9999.00
   K0J4  20120201/1858      1.00    31.04   -86.31    96.00    66.02     3.00 -9999.00 -9999.00  1022.00    30.19    62.06    87.08  2481.00 -9999.00
   K0J4  20120201/1906      1.00    31.04   -86.31    96.00    66.02     3.00   340.00 -9999.00 -9999.00    30.19    62.06    87.08  2494.00 -9999.00
   K0VG  20120201/1855      1.00    36.65   -83.22   430.00    48.20     0.00     0.00 -9999.00 -9999.00    30.15    48.20   100.00    13.00 -9999.00
   K11R  20120201/1855      1.00    30.22   -96.37    94.00    71.60     5.00   220.00 -9999.00 -9999.00    30.09    64.40    78.09 -9999.00 -9999.00
   K12N  20120201/1854      1.00    41.01   -74.74   177.00    57.92     7.00   230.00 -9999.00  1012.60    29.89    42.08    55.49 -9999.00 -9999.00
   K1A5  20120201/1855      1.00    35.22   -83.42   616.00    44.60     0.00     0.00 -9999.00 -9999.00    30.18    41.00    87.09     1.00 -9999.00
   K1A6  20120201/1855      1.00    36.61   -83.74   352.00    55.40     0.00     0.00 -9999.00 -9999.00    30.11    53.60    93.65    13.00 -9999.00
   K1F0  20120201/1855      1.00    34.15   -97.12   257.00    64.40     7.00    60.00 -9999.00 -9999.00    30.07    44.60    48.59 -9999.00 -9999.00
   K1H2  20120201/1855      1.00    39.07   -88.53   179.00    56.48     0.00     0.00 -9999.00 -9999.00    30.08    38.84    51.54 -9999.00 -9999.00
   K1J0  20120201/1858      1.00    30.85   -85.60    26.00    66.02     4.00   160.00 -9999.00  1020.40    30.18    62.96    89.88    13.00 -9999.00
   K1M4  20120201/1856      1.00    34.28   -87.60   284.00    57.92 -9999.00 -9999.00 -9999.00  1021.10    30.12    57.92   100.00     9.00 -9999.00
   K1S3  20120201/1900      1.00    46.27  -106.62   831.00    41.00     0.00   200.00 -9999.00 -9999.00    30.02    28.40    60.51 -9999.00 -9999.00
   K1V4  20120201/1854      1.00    44.42   -72.02   212.00    35.06 -9999.00 -9999.00 -9999.00  1006.30    29.69    32.00    88.46 -9999.00 -9999.00
   K20U  20120201/1855      1.00    46.93  -103.98   840.00    41.00    11.00   260.00 -9999.00 -9999.00    30.02    21.20    44.80 -9999.00 -9999.00
   K20V  20120201/1900      1.00    40.05  -106.37  2259.00    32.00     0.00     0.00 -9999.00 -9999.00    30.24    12.20    43.26 -9999.00 -9999.00
   K2C8  20120201/1855      1.00    48.78   -97.63   272.00    32.00     4.00   180.00 -9999.00 -9999.00    29.91    28.40    86.37 -9999.00 -9999.00
   K2D5  20120201/1855      1.00    46.17   -98.08   407.00    41.00     5.00   240.00 -9999.00 -9999.00    29.99    32.00    70.06 -9999.00 -9999.00
   K2I0  20120201/1855      1.00    37.36   -87.40   134.00    60.80     4.00   310.00 -9999.00 -9999.00    30.04    53.60    77.17 -9999.00 -9999.00
   K2J9  20120201/1855      1.00    30.60   -84.56    69.00    68.00     5.00   170.00 -9999.00 -9999.00    30.21    57.20    68.41 -9999.00 -9999.00
   K2WX  20120201/1856      1.00    45.60  -103.55   915.00    44.96     9.00   260.00 -9999.00  1017.50    29.98    21.02    38.19 -9999.00 -9999.00
   K33V  20120201/1859      1.00    40.75  -106.27  2485.00    33.80    10.00   190.00 -9999.00 -9999.00    30.18     8.60    34.25 -9999.00 -9999.00
   K3A1  20120201/1855      1.00    34.27   -86.86   294.00    58.10     7.00   210.00 -9999.00 -9999.00    30.12    55.04    89.54    31.00 -9999.00
   K3I2  20120201/1855      1.00    38.91   -82.10   196.00    59.00     6.00   240.00 -9999.00 -9999.00    30.06    48.20    67.36 -9999.00 -9999.00
   K3J7  20120201/1855      1.00    33.60   -83.14   206.00    68.00     7.00   200.00 -9999.00 -9999.00    30.13    51.80    56.19 -9999.00 -9999.00
   K3LF  20120201/1855      1.00    39.16   -89.67   210.00    54.14     3.00   290.00 -9999.00 -9999.00    30.09    43.16    66.32 -9999.00 -9999.00
   K40J  20120201/1853      1.00    30.07   -83.57    13.00    73.94    11.00   210.00 -9999.00  1022.40    30.20    51.98    46.25 -9999.00 -9999.00
   K42J  20120201/1855      1.00    29.84   -82.05    60.00    77.00     5.00   150.00 -9999.00 -9999.00    30.20    51.80    41.49 -9999.00 -9999.00
   K46D  20120201/1855      1.00    47.45   -99.15   490.00    39.20    12.00   290.00 -9999.00 -9999.00    29.94    32.00    75.14 -9999.00 -9999.00
   K4A6  20120201/1855      1.00    34.69   -86.01   198.00    53.60     0.00     0.00 -9999.00 -9999.00    30.13    51.80    93.60    13.00 -9999.00
   K4A9  20120201/1855      1.00    34.47   -85.72   267.00    51.80     0.00     0.00 -9999.00 -9999.00    30.12    50.00    93.55     1.00 -9999.00
